"Date","Temperature","Salin","Fluorescence","Turbidity","Oxygen"
2024-08-07 12:00:20,4.5319,34.94,0.0118,0.1431,6.2065
2024-08-07 14:00:20,4.5319,34.9401,0.0086,0.1354,6.2527
2024-08-07 16:00:20,4.5263,34.9405,0.005,0.1373,6.2539
2024-08-07 18:00:20,4.5114,34.9411,0.0082,0.1359,6.2728
2024-08-07 20:00:20,4.5225,34.9407,0.0123,0.1397,6.2549
2024-08-07 22:00:20,4.5361,34.9401,0.0082,0.1362,6.2392
2024-08-08 00:00:20,4.5285,34.9405,0.0077,0.1402,6.245
2024-08-08 02:00:20,4.5297,34.9405,0.0169,0.1389,6.2382
2024-08-08 04:00:20,4.5333,34.9404,0.0127,0.145,6.2369
2024-08-08 06:00:20,4.5421,34.9402,0.0077,0.1385,6.214
2024-08-08 08:00:20,4.5445,34.9401,0.0123,0.1357,6.2102
2024-08-08 10:00:20,4.5103,34.9415,0.0086,0.1525,6.2553
2024-08-08 12:00:20,4.4813,34.9428,0.004,0.1406,6.2974
2024-08-08 14:00:20,4.4681,34.9432,0.0068,0.1524,6.3156
2024-08-08 16:00:20,4.4534,34.944,0.0164,0.184,6.3327
2024-08-08 18:00:20,4.4685,34.9436,0.0086,0.1508,6.3074
2024-08-08 20:00:20,4.4753,34.9431,0.0109,0.2206,6.2998
2024-08-08 22:00:20,4.5878,34.9363,0.0054,0.1447,6.1425
2024-08-09 00:00:20,4.6279,34.9368,0.01,0.1403,6.0951
2024-08-09 02:00:20,4.6056,34.9393,0.0091,0.144,6.1261
2024-08-09 04:00:20,4.6725,34.9354,0.0095,0.136,6.0219
2024-08-09 06:00:20,4.7226,34.9328,0.01,0.129,5.9626
2024-08-09 08:00:20,4.6476,34.936,0.0072,0.1406,6.0535
2024-08-09 10:00:20,4.5837,34.9386,0.0109,0.1347,6.1435
2024-08-09 12:00:20,4.4655,34.9441,0.01,0.1873,6.3069
2024-08-09 14:00:20,4.4533,34.9439,0.0018,0.1644,6.3258
2024-08-09 16:00:20,4.5616,34.939,0.0123,0.1365,6.1715
2024-08-09 18:00:20,4.643,34.937,0.0169,0.1399,6.0606
2024-08-09 20:00:20,4.7522,34.9302,0.0095,0.133,5.9173
2024-08-09 22:00:20,4.7839,34.9317,0.0059,0.1344,5.8583
